-1           init_dist() [27888049us]

5757191           global minimum

0: 5757191           RR_all() [0us]
1: 5761440           rad(29154,90) (44760us)          
3: 5761428           rad(43236,35) (17431us)          
4: 5761415           rad(61555,27) (13455us)          
6: 5761362           rad(9780,120) (59737us)          
7: 5761331           ran(14) (6979us)          
9: 5761216           ran(42) (20934us)          
10: 5761142           ran(66) (32885us)          
11: 5761032           ran(137) (68227us)          
13: 5761001           rad(68958,20) (9963us)          
14: 5760860           ran(160) (79696us)          
18: 5760749           ran(91) (45345us)          
21: 5760732           ran(22) (10964us)          
30: 5760668           ran(26) (12953us)          
32: 5760664           ran(106) (52859us)          
37: 5760621           ran(108) (53848us)          
38: 5760552           rad(73311,86) (42887us)          
39: 5760387           ran(56) (27935us)          
41: 5760362           ran(194) (96793us)          
45: 5760201           ran(134) (66908us)          
53: 5760173           ran(207) (103335us)          
58: 5760146           ran(146) (72880us)          
64: 5760145           ran(96) (47946us)          
78: 5760130           ran(155) (77352us)          
85: 5759973           ran(147) (73424us)          
93: 5759935           ran(59) (29490us)          
96: 5759891           ran(92) (45978us)          
109: 5759844           ran(63) (31474us)          
114: 5759833           ran(65) (32495us)          
127: 5759832           ran(18) (8973us)          
129: 5759805           ran(16) (7994us)          
130: 5759788           ran(78) (38978us)          
143: 5759744           ran(83) (41499us)          
144: 5759731           ran(49) (24498us)          
164: 5759730           ran(68) (34009us)          
167: 5759728           ran(11) (5489us)          
171: 5759725           ran(23) (11504us)          
172: 5759693           ran(119) (59500us)          
174: 5759674           ran(121) (60503us)          
176: 5759648           ran(121) (60485us)          
189: 5759608           ran(125) (62496us)          
217: 5759565           ran(32) (16000us)          
230: 5759443           ran(94) (47025us)          
233: 5759433           ran(9) (4504us)          
280: 5759430           ran(25) (12516us)          
295: 5759378           ran(63) (31561us)          
407: 5759374           ran(47) (23581us)          
432: 5759333           ran(74) (37090us)          
438: 5759309           ran(112) (56159us)          
478: 5759295           ran(115) (57609us)          
496: 5759290           ran(37) (18537us)          
539: 5759278           ran(28) (14045us)          
559: 5759266           ran(50) (25084us)          
562: 5759252           ran(62) (31081us)          
580: 5759250           ran(30) (15042us)          
583: 5759240           ran(25) (12543us)          
610: 5759236           ran(54) (27164us)          
611: 5759216           ran(38) (19056us)          
640: 5759210           ran(31) (15548us)          
670: 5759207           ran(31) (15546us)          
716: 5759196           ran(151) (75730us)          
735: 5759182           ran(36) (18053us)          
753: 5759177           ran(39) (19548us)          
805: 5759174           ran(34) (17079us)          
817: 5759171           ran(66) (33213us)          
837: 5759169           ran(36) (18063us)          
870: 5759166           ran(26) (13042us)          
893: 5759155           ran(32) (16058us)          
974: 5759145           rad(32172,19) (9519us)          
1111: 5759139           rad(24210,5) (2511us)          
1160: 5759126           ran(119) (59780us)          
1162: 5759120           rad(19380,16) (8040us)          
1258: 5759117           ran(58) (29190us)          
1262: 5759109           rad(68160,6) (3015us)          
1351: 5759108           ran(53) (26683us)          
1366: 5759077           ran(30) (15075us)          
1387: 5759074           ran(85) (43087us)          
1388: 5759071           ran(23) (11584us)          
1398: 5759067           ran(19) (9596us)          
1411: 5759063           ran(56) (28328us)          
1475: 5759061           ran(54) (27305us)          
1486: 5759047           rad(66768,4) (2025us)          
1492: 5759040           ran(43) (21771us)          
1552: 5759010           rad(87544,23) (11631us)          
1635: 5758981           ran(48) (24312us)          
1660: 5758958           ran(108) (54674us)          
1710: 5758940           ran(19) (9621us)          
1732: 5758938           ran(14) (7088us)          
1736: 5758918           ran(59) (29884us)          
1787: 5758912           ran(92) (46611us)          
1795: 5758884           rad(34360,5) (2527us)          
1995: 5758873           ran(37) (18728us)          
2142: 5758858           ran(21) (10654us)          
2481: 5758856           ran(51) (25885us)          
2635: 5758845           ran(34) (17223us)          
2976: 5758842           rad(58981,22) (11154us)          
3106: 5758840           ran(21) (10659us)          
3183: 5758830           rad(37841,8) (4049us)          
3434: 5758812           rad(77521,9) (4566us)          
3601: 5758810           ran(28) (14233us)          
3690: 5758806           ran(45) (22905us)          
3734: 5758787           ran(82) (41730us)          
